filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette,image_url
0001_1_smart-factory-404-error-page-illustratio_nCoL--mCTASXCsssEQnCXg_j0jr2lRYTqKyM_Td-2zSvQ_cover.png,"Smart Factory 404 error page illustration, industrial theme, friendly error message, professional design, suitable for error page",OFF,,4:3,2.0,private,1696762256,default,,design,#007BFF #FFFFFF #666666,https://ideogram.ai/g/j0jr2lRYTqKyM_Td-2zSvQ/0
0002_1_smart-factory-about-section-background-i_4A5FicgGRniKVd4RPt7rpA_IW2Rd2CARNyFx19jKs34uw_cover.png,"Smart Factory about section background, industrial theme, professional appearance, suitable for about section background",OFF,,16:9,2.0,private,1149148795,default,,design,#007BFF #FFFFFF #666666,https://ideogram.ai/g/IW2Rd2CARNyFx19jKs34uw/0
0003_1_smart-factory-fun-fact-background-indust_gn9RIqFeRtKxRUVozndv4g_lGYSks1uTHW0P1jf-ehG0Q_cover.png,"Smart Factory fun fact background, industrial pattern, subtle design, professional appearance, suitable for background section",OFF,,16:9,2.0,private,997882506,default,,design,#007BFF #FFFFFF #666666,https://ideogram.ai/g/lGYSks1uTHW0P1jf-ehG0Q/0
0004_1_smart-factory-contact-page-header-profes_Nevt-HhlTHau4hEVam4XVA_5a4ew_qjTzahFP3WMJ_k0g_cover.png,"Smart Factory contact page header, professional office environment, business communication theme, clean modern office, suitable for page header",OFF,,21:10,2.0,private,1944582624,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/5a4ew_qjTzahFP3WMJ_k0g/0
0005_1_smart-factory-news-page-header-technolog_m84vLohWS5uKBY9Fv1xchQ_Oo7pwULpQeifquZJqlZ-1g_cover.png,"Smart Factory news page header, technology and innovation background, professional business environment, digital transformation theme, suitable for page header",OFF,,21:10,2.0,private,1899236351,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/Oo7pwULpQeifquZJqlZ-1g/0
0006_1_smart-factory-team-page-header-team-coll_9vN88lR2TeeFgKQ3Wc6Z1A_eAsLvlzbQYqYsxb97ajyWw_cover.png,"Smart Factory team page header, team collaboration background, professional business environment, diverse team working together, suitable for page header",OFF,,21:10,2.0,private,1910572529,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/eAsLvlzbQYqYsxb97ajyWw/0
0007_1_smart-factory-about-page-header-manufact_uVabPbzMR7mZbI3t1baWyg_ocPG3IK9SYClhtBti101mA_cover.png,"Smart Factory about page header, manufacturing facility background, professional business environment, clean industrial setting, suitable for page header",OFF,,21:10,2.0,private,413404346,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/ocPG3IK9SYClhtBti101mA/0
0008_1_professional-company-logo-technology-com_SQWAdMWAQgePEhaauji86g_b9CckJ9jQ5aZcsq96MOAkw_cover.png,"Professional company logo, technology company, clean design, transparent background, suitable for partner section",OFF,,2:1,2.0,private,1216239554,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/b9CckJ9jQ5aZcsq96MOAkw/0
0009_1_professional-company-logo-manufacturing-_zIY-kbfSRMSUqUJeTZp7oQ_fp4jLw9zSoqEfRi0zlFoCg_cover.png,"Professional company logo, manufacturing company, clean design, transparent background, suitable for partner section",OFF,,2:1,2.0,private,64483690,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/fp4jLw9zSoqEfRi0zlFoCg/0
0010_1_professional-company-logo-technology-com_nY-_7Os_SKiondlcf8AIDw_GlYmiIHCQUuE845jBM2iSg_cover.png,"Professional company logo, technology company, clean design, transparent background, suitable for partner section",OFF,,2:1,2.0,private,521220925,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/GlYmiIHCQUuE845jBM2iSg/0
